Date,Precio
28/9/20 16:00,124.3200
29/9/20 16:00,126.3500
30/9/20 16:00,125.5400
1/10/20 16:00,126.6400
2/10/20 16:00,126.6400
5/10/20 16:00,127.9100
6/10/20 16:00,127.6500
7/10/20 16:00,130.0600
8/10/20 16:00,129.7100
9/10/20 16:00,130.9800
12/10/20 16:00,129.4600
13/10/20 16:00,129.2000
14/10/20 16:00,127.6600
15/10/20 16:00,129.0000
16/10/20 16:00,128.0000
19/10/20 16:00,127.4300
20/10/20 16:00,128.4900
21/10/20 16:00,129.4300
22/10/20 16:00,130.0200
23/10/20 16:00,129.9900
26/10/20 16:00,128.3700
27/10/20 16:00,127.9900
28/10/20 16:00,122.0800
29/10/20 16:00,122.8600
30/10/20 16:00,120.0800
2/11/20 16:00,122.3900
3/11/20 16:00,124.5900
4/11/20 16:00,127.3400
5/11/20 16:00,129.7000
6/11/20 16:00,128.9000
9/11/20 16:00,128.9500
10/11/20 16:00,127.7100
11/11/20 16:00,127.6600
12/11/20 16:00,126.6400
13/11/20 16:00,128.2800
16/11/20 16:00,130.1100
17/11/20 16:00,132.2100
18/11/20 16:00,131.6300
19/11/20 16:00,131.9100
20/11/20 16:00,132.9800
23/11/20 16:00,134.1300
24/11/20 16:00,134.7000
25/11/20 16:00,135.5400
27/11/20 13:00,134.2500
30/11/20 16:00,134.7000
1/12/20 16:00,135.4400
2/12/20 16:00,135.5800
3/12/20 16:00,136.9600
4/12/20 16:00,137.1900
7/12/20 16:00,138.7500
8/12/20 16:00,139.1200
9/12/20 16:00,138.7900
10/12/20 16:00,137.5800
11/12/20 16:00,137.4100
14/12/20 16:00,136.2800
15/12/20 16:00,139.3900
16/12/20 16:00,138.3400
17/12/20 16:00,140.5000
18/12/20 16:00,137.2800
21/12/20 16:00,144.0200
22/12/20 16:00,142.4500
23/12/20 16:00,141.7600
24/12/20 13:00,141.6000
28/12/20 16:00,142.4300
29/12/20 16:00,141.5700
30/12/20 16:00,141.5800
31/12/20 16:00,141.4700
